Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
NOM_after	NOM	292.061531	17	10	4	1	0	0	C17H10NO4	CHON	Condensed Aromatics
NOM_after	NOM	292.082661	14	14	6	1	0	0	C14H14NO6	CHON	Lignins
NOM_after	NOM	292.097917	18	14	3	1	0	0	C18H14NO3	CHON	Lignins
NOM_after	NOM	292.119046	15	18	5	1	0	0	C15H18NO5	CHON	Lignins
NOM_after	NOM	292.993905	12	5	9	0	0	0	C12H5O9	CHO	Tannins
NOM_after	NOM	293.009161	16	5	6	0	0	0	C16H5O6	CHO	Condensed Aromatics
NOM_after	NOM	293.012533	13	9	6	0	1	0	C13H9O6S	CHOS	Lignins
NOM_after	NOM	293.030291	13	9	8	0	0	0	C13H9O8	CHO	Lignins
NOM_after	NOM	293.044896	9	13	7	2	1	0	C9H13N2O7S	CHONS	Carbohydrates
NOM_after	NOM	293.045547	17	9	5	0	0	0	C17H9O5	CHO	Condensed Aromatics
NOM_after	NOM	293.05678	16	9	4	2	0	0	C16H9N2O4	CHON	Condensed Aromatics
NOM_after	NOM	293.066676	14	13	7	0	0	0	C14H13O7	CHO	Lignins
NOM_after	NOM	293.081281	10	17	6	2	1	0	C10H17N2O6S	CHONS	Proteins
NOM_after	NOM	293.081932	18	13	4	0	0	0	C18H13O4	CHO	Lignins
NOM_after	NOM	293.103062	15	17	6	0	0	0	C15H17O6	CHO	Lignins
NOM_after	NOM	293.118318	19	17	3	0	0	0	C19H17O3	CHO	Lignins
NOM_after	NOM	293.124191	12	21	8	0	0	0	C12H21O8	CHO	Proteins
NOM_after	NOM	293.139447	16	21	5	0	0	0	C16H21O5	CHO	Lignins
NOM_after	NOM	293.175833	17	25	4	0	0	0	C17H25O4	CHO	Lipids
NOM_after	NOM	293.179204	14	29	4	0	1	0	C14H29O4S	CHOS	
NOM_after	NOM	294.040796	16	8	5	1	0	0	C16H8NO5	CHON	Condensed Aromatics
NOM_after	NOM	294.061925	13	12	7	1	0	0	C13H12NO7	CHON	Lignins
NOM_after	NOM	294.077181	17	12	4	1	0	0	C17H12NO4	CHON	Lignins
NOM_after	NOM	294.098311	14	16	6	1	0	0	C14H16NO6	CHON	Lignins
NOM_after	NOM	294.134696	15	20	5	1	0	0	C15H20NO5	CHON	Lignins
NOM_after	NOM	295.009555	12	7	9	0	0	0	C12H7O9	CHO	Tannins
NOM_after	NOM	295.024812	16	7	6	0	0	0	C16H7O6	CHO	Condensed Aromatics
NOM_after	NOM	295.036045	15	7	5	2	0	0	C15H7N2O5	CHON	Condensed Aromatics
NOM_after	NOM	295.045941	13	11	8	0	0	0	C13H11O8	CHO	Lignins
NOM_after	NOM	295.060546	9	15	7	2	1	0	C9H15N2O7S	CHONS	Carbohydrates
NOM_after	NOM	295.061197	17	11	5	0	0	0	C17H11O5	CHO	Lignins
NOM_after	NOM	295.07243	16	11	4	2	0	0	C16H11N2O4	CHON	Lignins
NOM_after	NOM	295.082326	14	15	7	0	0	0	C14H15O7	CHO	Lignins
NOM_after	NOM	295.09356	13	15	6	2	0	0	C13H15N2O6	CHON	Lignins
NOM_after	NOM	295.097583	18	15	4	0	0	0	C18H15O4	CHO	Lignins
NOM_after	NOM	295.118712	15	19	6	0	0	0	C15H19O6	CHO	Lignins
NOM_after	NOM	295.122083	12	23	6	0	1	0	C12H23O6S	CHOS	Proteins
NOM_after	NOM	295.133968	19	19	3	0	0	0	C19H19O3	CHO	Lignins
NOM_after	NOM	295.137339	16	23	3	0	1	0	C16H23O3S	CHOS	Lipids
NOM_after	NOM	295.139841	12	23	8	0	0	0	C12H23O8	CHO	Proteins
NOM_after	NOM	295.155097	16	23	5	0	0	0	C16H23O5	CHO	Proteins
NOM_after	NOM	295.191483	17	27	4	0	0	0	C17H27O4	CHO	Lipids
NOM_after	NOM	295.227868	18	31	3	0	0	0	C18H31O3	CHO	Lipids
NOM_after	NOM	296.02006	15	6	6	1	0	0	C15H6NO6	CHON	Condensed Aromatics
NOM_after	NOM	296.056446	16	10	5	1	0	0	C16H10NO5	CHON	Condensed Aromatics
NOM_after	NOM	296.067679	15	10	4	3	0	0	C15H10N3O4	CHON	Lignins
NOM_after	NOM	296.092832	17	14	4	1	0	0	C17H14NO4	CHON	Lignins
NOM_after	NOM	297.004076	15	5	7	0	0	0	C15H5O7	CHO	Condensed Aromatics
NOM_after	NOM	297.025205	12	9	9	0	0	0	C12H9O9	CHO	Tannins
NOM_after	NOM	297.040462	16	9	6	0	0	0	C16H9O6	CHO	Condensed Aromatics
NOM_after	NOM	297.051695	15	9	5	2	0	0	C15H9N2O5	CHON	Condensed Aromatics
NOM_after	NOM	297.061591	13	13	8	0	0	0	C13H13O8	CHO	Lignins
NOM_after	NOM	297.076847	17	13	5	0	0	0	C17H13O5	CHO	Lignins
NOM_after	NOM	297.080218	14	17	5	0	1	0	C14H17O5S	CHOS	Lignins
NOM_after	NOM	297.08808	16	13	4	2	0	0	C16H13N2O4	CHON	Lignins
NOM_after	NOM	297.097976	14	17	7	0	0	0	C14H17O7	CHO	Lignins
NOM_after	NOM	297.113233	18	17	4	0	0	0	C18H17O4	CHO	Lignins
NOM_after	NOM	297.134362	15	21	6	0	0	0	C15H21O6	CHO	Lignins
NOM_after	NOM	297.152989	16	25	3	0	1	0	C16H25O3S	CHOS	Lipids
NOM_after	NOM	297.170747	16	25	5	0	0	0	C16H25O5	CHO	Proteins
NOM_after	NOM	297.207133	17	29	4	0	0	0	C17H29O4	CHO	Lipids
NOM_after	NOM	297.243519	18	33	3	0	0	0	C18H33O3	CHO	Lipids
NOM_after	NOM	298.035711	15	8	6	1	0	0	C15H8NO6	CHON	Condensed Aromatics
NOM_after	NOM	298.046944	14	8	5	3	0	0	C14H8N3O5	CHON	Condensed Aromatics
NOM_after	NOM	298.072096	16	12	5	1	0	0	C16H12NO5	CHON	Lignins
NOM_after	NOM	298.108482	17	16	4	1	0	0	C17H16NO4	CHON	Lignins
NOM_after	NOM	299.001968	15	7	5	0	1	0	C15H7O5S	CHOS	Condensed Aromatics
NOM_after	NOM	299.019726	15	7	7	0	0	0	C15H7O7	CHO	Condensed Aromatics
NOM_after	NOM	299.03096	14	7	6	2	0	0	C14H7N2O6	CHON	Condensed Aromatics
NOM_after	NOM	299.056112	16	11	6	0	0	0	C16H11O6	CHO	Lignins
NOM_after	NOM	299.059483	13	15	6	0	1	0	C13H15O6S	CHOS	Lignins
NOM_after	NOM	299.067345	15	11	5	2	0	0	C15H11N2O5	CHON	Lignins
NOM_after	NOM	299.071368	20	11	3	0	0	0	C20H11O3	CHO	Condensed Aromatics
NOM_after	NOM	299.077241	13	15	8	0	0	0	C13H15O8	CHO	Lignins
NOM_after	NOM	299.080612	10	19	8	0	1	0	C10H19O8S	CHOS	Carbohydrates
NOM_after	NOM	299.092497	17	15	5	0	0	0	C17H15O5	CHO	Lignins
NOM_after	NOM	299.095868	14	19	5	0	1	0	C14H19O5S	CHOS	Lignins
NOM_after	NOM	299.113627	14	19	7	0	0	0	C14H19O7	CHO	Lignins
NOM_after	NOM	299.116998	11	23	7	0	1	0	C11H23O7S	CHOS	Proteins
NOM_after	NOM	299.128883	18	19	4	0	0	0	C18H19O4	CHO	Lignins
NOM_after	NOM	299.132254	15	23	4	0	1	0	C15H23O4S	CHOS	Lipids
NOM_after	NOM	299.150012	15	23	6	0	0	0	C15H23O6	CHO	Proteins
NOM_after	NOM	299.165268	19	23	3	0	0	0	C19H23O3	CHO	Lignins
NOM_after	NOM	299.186398	16	27	5	0	0	0	C16H27O5	CHO	Proteins
NOM_after	NOM	299.201654	20	27	2	0	0	0	C20H27O2	CHO	Lignins
NOM_after	NOM	299.222783	17	31	4	0	0	0	C17H31O4	CHO	Lipids
NOM_after	NOM	299.259169	18	35	3	0	0	0	C18H35O3	CHO	Lipids
NOM_after	NOM	300.014975	14	6	7	1	0	0	C14H6NO7	CHON	Condensed Aromatics
NOM_after	NOM	300.051361	15	10	6	1	0	0	C15H10NO6	CHON	Lignins
NOM_after	NOM	300.062594	14	10	5	3	0	0	C14H10N3O5	CHON	Lignins
NOM_after	NOM	300.066617	19	10	3	1	0	0	C19H10NO3	CHON	Condensed Aromatics
NOM_after	NOM	300.087746	16	14	5	1	0	0	C16H14NO5	CHON	Lignins
NOM_after	NOM	300.996489	18	5	3	0	1	0	C18H5O3S	CHOS	Condensed Aromatics
NOM_after	NOM	300.998991	14	5	8	0	0	0	C14H5O8	CHO	Condensed Aromatics
NOM_after	NOM	301.002362	11	9	8	0	1	0	C11H9O8S	CHOS	Tannins
NOM_after	NOM	301.010224	13	5	7	2	0	0	C13H5N2O7	CHON	Condensed Aromatics
NOM_after	NOM	301.035376	15	9	7	0	0	0	C15H9O7	CHO	Condensed Aromatics
